station_code,station_latitude_deg,station_longitude_deg,site_key,mesh_code,jcode,avs30_mps,arv,avs_eb_mps,avs_ref,jshis_known
HYG018,34.8143,134.687,HYG018|34.8143|134.6870,5234157442,11.0,266.3,1.4142,,0.0,1
HYG019,34.832,134.8236,HYG019|34.8320|134.8236,5234169544,3.0,364.6,1.0821,,0.0,1
HYG020,34.7976,134.9899,HYG020|34.7976|134.9899,5234175931,8.0,424.6,0.9504,,0.0,1
HYG021,34.6898,135.1583,HYG021|34.6898|135.1583,5235012243,1.0,775.5,0.5689,,0.0,1
HYG022,34.7463,135.3499,HYG022|34.7463|135.3499,5235029742,12.0,201.6,1.7927,,0.0,1
HYG023,34.6444,134.9999,HYG023|34.6444|134.9999,5134777924,16.0,260.2,1.4425,,0.0,1
HYG024,34.5321,134.9902,HYG024|34.5321|134.9902,5134673933,15.0,207.5,1.749,,0.0,1
HYG025,34.3405,134.9014,HYG025|34.3405|134.9014,5134470233,16.0,260.2,1.4425,,0.0,1
HYG026,34.4149,134.7925,HYG026|34.4149|134.7925,5134469334,3.0,476.2,0.8619,,0.0,1
HYG027,34.2499,134.7292,HYG027|34.2499|134.7292,5134259834,3.0,422.6,0.9542,,0.0,1
IBR001,36.7761,140.3569,IBR001|36.7761|140.3569,5540123821,10.0,482.0,0.8531,1028.7,1.0,1
IBR002,36.7061,140.7068,IBR002|36.7061|140.7068,5540054641,15.0,245.2,1.5173,442.4,1.0,1
IBR003,36.5915,140.6453,IBR003|36.5915|140.6453,5440750143,9.0,342.5,1.1414,425.9,1.0,1
IBR004,36.5273,140.4094,IBR004|36.5273|140.4094,5440633224,9.0,308.6,1.2474,531.4,1.0,1
IBR005,36.3851,140.2372,IBR005|36.3851|140.2372,5440416822,9.0,421.3,0.9568,934.9,1.0,1
IBR006,36.369,140.4528,IBR006|36.3690|140.4528,5440434613,13.0,260.7,1.4401,500.0,1.0,1
IBR007,36.3523,140.5955,IBR007|36.3523|140.5955,5440442723,9.0,350.0,1.1204,448.2,1.0,1
IBR008,36.3062,139.9828,IBR008|36.3062|139.9828,5439376841,11.0,294.9,1.2964,366.4,1.0,1
IBR009,36.1848,139.7037,IBR009|36.1848|139.7037,5439252612,9.0,234.5,1.5762,350.0,1.0,1
IBR010,36.1843,139.9653,IBR010|36.1843|139.9653,5439272711,9.0,136.1,2.5053,380.0,1.0,1
IBR011,36.1251,140.0903,IBR011|36.1251|140.0903,5440105711,9.0,222.6,1.6479,390.8,1.0,1
IBR012,36.1901,140.2869,IBR012|36.1901|140.2869,5440222244,10.0,198.1,1.8197,413.9,1.0,1
IBR013,36.1587,140.4892,IBR013|36.1587|140.4892,5440139911,9.0,268.5,1.4044,371.4,1.0,1
IBR014,36.0729,140.1947,IBR014|36.0729|140.1947,5440018541,9.0,196.0,1.836,395.9,1.0,1
IBR015,36.0693,139.908,IBR015|36.0693|139.9080,5439078223,9.0,231.6,1.5928,408.7,1.0,1
